melanization,parental.pair,convergence,sex,age,mating.status,bloodfed
2,36,nonconverged,female,5,mated,yes
2,36,nonconverged,female,5,mated,yes
1,37,nonconverged,female,5,mated,yes
2,37,nonconverged,female,5,mated,yes
2,37,nonconverged,female,5,mated,yes
2,37,nonconverged,female,5,mated,yes
2,38,nonconverged,female,5,mated,yes
2,38,nonconverged,female,5,mated,yes
2,38,nonconverged,female,5,mated,yes
2,38,nonconverged,female,5,mated,yes
2,38,nonconverged,female,5,mated,yes
0,39,converged,female,5,mated,yes
2,39,converged,female,5,mated,yes
2,39,converged,female,5,mated,yes
2,39,converged,female,5,mated,yes
2,39,converged,female,5,mated,yes
0,40,converged,female,5,mated,yes
0,40,converged,female,5,mated,yes
0,40,converged,female,5,mated,yes
1,40,converged,female,5,mated,yes
1,40,converged,female,5,mated,yes
0,42,nonconverged,female,5,mated,yes
1,42,nonconverged,female,5,mated,yes
1,42,nonconverged,female,5,mated,yes
2,42,nonconverged,female,5,mated,yes
2,43,nonconverged,female,5,mated,yes
2,43,nonconverged,female,5,mated,yes
2,43,nonconverged,female,5,mated,yes
2,43,nonconverged,female,5,mated,yes
2,44,converged,female,5,mated,yes
2,44,converged,female,5,mated,yes
2,44,converged,female,5,mated,yes
2,44,converged,female,5,mated,yes
2,44,converged,female,5,mated,yes
